,title,anime_id,type,source,episodes,status,airing,duration,rating,score,scored_by,rank,popularity,members,favorites,licensor,0,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,Yaoi,Yuri,year
4460,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,2544,6,8,50,2,1,24.0,5,7.29,1077,2460.0,6328,2564,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1981
4461,Zonmi-chan: Meat Pie of the Dead,32934,3,14,1,2,1,5.0,6,5.34,572,8631.0,8113,1098,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4462,Joutoku,36767,1,7,1,2,1,1.0,5,4.07,30,10646.0,13896,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4463,Kono Subarashii Sekai ni Shukufuku wo! 2,32937,6,10,10,2,1,23.0,6,8.36,254435,186.0,112,417656,4646,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017
4464,Tamagotchi! Tamatomo Daishuu GO,30232,6,11,26,2,1,25.523345765989777,5,6.33,27,12356.0,10569,284,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
4465,Negibouzu no Asatarou,5184,6,4,48,2,1,20.0,0,6.36,11,11422.0,11372,188,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
4466,Ring Ring Boy,22391,4,15,1,2,1,4.0,5,4.46,13,11877.0,12896,103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4467,Master of Torque,23387,2,15,4,2,1,5.0,5,5.16,317,8882.0,8522,878,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4468,Nanchatte!,8959,2,15,2,2,1,1.0,5,3.66,38,11391.0,11675,166,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4469,Argento Soma Special,1789,3,15,1,2,1,25.0,6,6.5,1250,5589.0,6077,2859,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4470,Detective Conan: Chase the Mysterious Comet Monster!,33145,5,13,1,2,1,14.0,5,6.6,293,5193.0,7386,1549,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4471,Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,2175,4,10,1,2,1,28.0,2,7.79,14944,901.0,2066,31267,21,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4472,Miracle Train: Chuo-sen e Youkoso,6327,3,13,1,2,1,1.0,6,6.17,617,6875.0,5769,3280,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4473,Zekkyou Gakkyuu,15891,3,13,3,2,1,1.0,5,5.42,1261,8525.0,6113,2820,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4474,Itsuka Tenma no Kuro Usagi OVA,10934,5,10,1,2,1,24.0,2,7.04,8003,3409.0,2981,15934,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
4475,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,648,6,12,13,2,1,12.0,6,6.22,2126,6709.0,4574,5883,6,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
4476,Druaga no Tou: The Sword of Uruk,4726,6,11,12,2,1,24.0,6,7.33,29684,2303.0,1442,55011,86,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
4477,Bakunyuu Maid Kari,6402,5,14,2,2,1,30.0,3,6.42,1137,0.0,5761,3286,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4478,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,905,4,13,1,2,1,55.0,6,7.69,47832,1125.0,1115,74404,110,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4479,Yoru ga Kuru!,1702,5,12,4,2,1,27.0,3,5.85,445,0.0,6681,2168,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4480,Getsumen To Heiki Mina Specials,7427,3,15,2,2,1,23.0,6,6.11,260,7048.0,8319,977,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4481,Endless Serenade,3583,5,12,1,2,1,32.0,3,5.66,462,0.0,7757,1290,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4482,Mahou Shoujo Site,36266,6,13,12,1,0,24.0,2,6.47,8336,5723.0,1404,56827,117,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018
4483,Sora wo Kakeru Shoujo Picture Drama,6437,3,15,9,2,1,3.0,1,6.32,628,6324.0,7016,1860,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4484,Nekogami Yaoyorozu: Ohanami Ghostbusters,10936,5,13,1,2,1,27.0,6,6.76,1118,4507.0,6055,2882,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4485,Sennen no Yakusoku,20797,5,14,1,2,1,17.0,5,4.56,16,12003.0,13053,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4486,Kannagi,3958,6,13,13,2,1,23.0,6,7.39,51941,2072.0,791,109171,320,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2008
4487,Bouken-tachi Gamba to Nanbiki no Nakama,28983,4,8,1,2,1,95.0,5,6.54,24,9749.0,11757,160,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4488,Azumi Mamma★Mia,22247,6,13,60,2,1,5.0,0,5.69,16,9682.0,11729,164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997
4489,Bondage Game: Shinsou no Reijoutachi,2349,5,15,2,2,1,30.0,3,5.32,2538,0.0,4610,5750,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4490,Kyonyuu Dosukebe Gakuen,36689,5,12,2,0,1,25.523345765989777,3,0.0,0,0.0,9042,662,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4491,Kero Kero Keroppi no Boku-tachi no Takaramono,17985,5,15,1,2,1,6.0,5,6.17,48,10831.0,11537,176,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4492,Kimera,2592,5,15,1,2,1,48.0,1,5.24,2080,8764.0,5167,4344,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
4493,Emi to Yobanaide,5609,5,15,2,2,1,30.0,3,5.21,284,0.0,8670,809,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4494,Penguin no Mondai,4331,6,15,100,2,1,10.0,5,6.34,66,6232.0,9672,463,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
4495,Kuzuryuugawa to Shounen,28109,5,15,1,2,1,30.0,5,7.13,8,11029.0,12873,105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4496,Bakuten Shoot Beyblade G Revolution,1668,6,13,52,2,1,20.0,4,7.01,17241,3522.0,2210,27868,178,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2003
4497,Septem Charm Magical Kanan: SP Summer Camp,4489,3,15,2,2,1,30.0,3,5.96,334,0.0,7939,1191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4498,Henteko na Volunteer,28353,5,15,1,2,1,46.0,5,6.89,9,10423.0,13618,70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4499,Pokemon XY: New Year&#039;s Eve 2014 Super Mega Special,29419,3,15,1,2,1,48.0,4,6.42,650,5938.0,6899,1965,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4500,Chuunibyou demo Koi ga Shitai! Movie: Take On Me Mini-Drama - Koukai Chokuzen no... Kaiko Gekijou,36855,2,15,24,2,1,20.0,5,6.73,287,4614.0,5043,4591,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501,Shima Kousaku no Asia Risshi-den Specials,33539,3,13,4,2,1,40.0,6,4.75,8,12046.0,13746,64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4502,Steady x Study,3497,5,15,1,2,1,25.0,6,5.36,61,8598.0,9849,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4503,Mushishi Zoku Shou: Suzu no Shizuku,28957,4,13,1,2,1,47.0,6,8.71,22283,47.0,1432,55411,124,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4504,Naruto,20,6,13,220,2,1,23.0,6,7.88,648605,745.0,10,980265,34468,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2002
4505,Korokoro Animal,29745,6,15,60,2,1,1.0,4,6.0,7,10972.0,13521,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
4506,Boku no Sexual Harassment,755,5,8,3,2,1,36.0,3,5.9,6551,0.0,3419,11912,45,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4507,"Doraemon Movie: Boku, Momotarou no Nanna no Sa",2650,4,15,1,2,1,47.0,4,6.75,329,4523.0,8617,833,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4508,Poppen-sensei to Kaerazu no Numa,30360,3,15,1,2,1,10.0,5,4.55,20,11803.0,13227,88,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4509,"Lupin III: Episode 0 ""First Contact""",1418,3,15,1,2,1,92.0,2,7.75,2671,996.0,4613,5749,9,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4510,Yuuwaku Countdown,1383,5,13,6,2,1,15.0,3,5.89,447,0.0,7281,1641,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4511,Devilman: Yochou Sirene-hen,2355,5,13,1,2,1,56.0,1,7.09,5941,3228.0,3652,10206,51,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4512,Slayers Gorgeous,867,4,10,1,2,1,1.0,6,7.4,7272,2046.0,3161,14243,10,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4513,Hanaukyou Maid-tai: La Verite,649,6,13,12,2,1,23.0,1,6.87,7962,4037.0,2939,16471,16,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
4514,Black Cat,68,6,13,23,2,1,24.0,6,7.49,89185,1656.0,430,181812,1703,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2005
4515,Special A,3470,6,13,24,2,1,24.0,6,7.72,113131,1071.0,339,217312,2782,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2008
4516,Chou Kousoku Galvion,6636,6,14,22,2,1,25.0,6,6.29,57,6430.0,9404,534,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984
4517,Wangpai Yushi Di 0 Ji,30166,2,15,1,2,1,12.0,4,6.28,233,6496.0,8817,749,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4518,Fushigi na Elevator,8218,4,15,1,2,1,7.0,5,6.06,35,10127.0,10388,313,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4519,Bungou Stray Dogs: Hitori Ayumu,33071,5,13,1,2,1,23.0,6,7.8,10816,870.0,1958,34337,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4520,Koguma no Koro-chan,9850,4,9,1,2,1,10.0,5,5.44,158,8476.0,10272,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4521,Akagaki Genzou: Tokuri no Wakare,24857,4,14,1,2,1,25.523345765989777,5,4.42,19,9560.0,12388,126,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4522,Overlord II,35073,6,10,13,2,1,23.0,2,8.01,97521,547.0,314,229014,1548,3,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018
4523,Vassalord.,15933,5,13,1,2,1,27.0,2,7.03,10297,3479.0,2668,20069,82,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
4524,Tokimeki Memorial: Forever With You,2179,5,11,2,2,1,50.0,6,6.2,661,6763.0,6903,1957,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4525,Kirara Fantasia,36805,2,9,12,1,0,1.0,5,6.82,79,4241.0,6273,2621,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4526,100% Pascal-sensei,35447,2,13,6,2,1,4.0,5,5.66,56,8069.0,10840,243,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4527,Lovely x Cation The Animation,29083,5,12,2,2,1,30.0,3,7.32,1974,0.0,4759,5336,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4528,Hashire Melos,35497,3,3,1,2,1,18.0,5,4.35,20,10358.0,12237,135,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4529,Spy Penguin (ONA),33772,2,14,43,2,1,2.0,4,4.73,11,12262.0,13614,72,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4530,Queen&#039;s Blade: Rebellion Specials,13855,3,9,6,2,1,4.0,1,6.23,2154,6656.0,4496,6112,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4531,Aoi Kokuhaku,5560,5,15,1,2,1,25.0,3,4.72,159,0.0,9200,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4532,Tentoumushi no Otomurai,12521,1,14,1,2,1,2.0,5,5.25,210,8761.0,10002,385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4533,Taiman Blues: Shimizu Naoto-hen,18569,5,15,3,2,1,30.0,2,4.75,20,12331.0,11505,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4534,Machine-Doll wa Kizutsukanai,17247,6,10,12,2,1,23.0,1,7.32,93655,2345.0,410,186805,560,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
4535,Uta no☆Prince-sama♪ Maji Love 2000%,12711,6,12,13,2,1,25.0,6,7.46,36361,1790.0,1110,74530,613,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2013
4536,Teekyuu 6,31440,6,13,12,2,1,2.0,6,6.75,5711,4556.0,3600,10505,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015
4537,Asuka: Nihon no Rekishi,35723,5,15,20,2,1,30.0,5,5.83,6,9666.0,13708,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4538,PiKA PiKA,28655,4,14,1,2,1,3.0,5,4.73,197,9247.0,10133,359,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4539,Shimajirou to Tanjoubi no Ohoshi-sama,36759,4,14,1,2,1,25.0,5,6.0,8,12057.0,14130,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4540,Konjiki no Gash Bell!!,250,6,13,150,2,1,23.0,6,7.64,29753,1252.0,1191,68543,818,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2003
4541,Tanoshii Ekaki Uta,35276,5,14,6,2,1,20.0,5,4.4,5,12365.0,14189,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4542,Usagi Drop,10162,6,13,11,2,1,22.0,6,8.52,139627,97.0,256,267477,4705,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2011
4543,Kyoukai no Kanata: Mini Theater,20909,3,14,7,2,1,6.0,6,6.83,7484,4194.0,2582,21307,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4544,Kingdom Hearts χ Back Cover,35776,5,11,1,2,1,62.0,6,7.11,263,3167.0,9144,628,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4545,Tamala 2010: A Punk Cat in Space OVA,8079,5,14,2,2,1,17.0,5,6.13,158,7012.0,8935,696,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4546,Ansatsu Kyoushitsu: Deai no Jikan,28405,3,13,1,2,1,10.0,6,7.46,22433,1752.0,1576,47837,75,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4547,Armed Blue Gunvolt,33564,5,11,1,2,1,21.0,6,5.91,1001,7534.0,4898,4924,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4548,Tetsujin 28-gou (2004),2337,6,15,26,2,1,25.0,5,7.54,520,1539.0,6428,2456,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2004
4549,Katainaka ni Totsuidekita ○-ssia Musume to H Shimakuru Ohanashi,36256,5,1,1,1,0,18.0,3,7.12,899,0.0,6140,2798,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4550,Clamp Gakuen Tanteidan,1844,6,13,26,2,1,24.0,5,7.01,3301,3526.0,3831,9111,24,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1997
